PClass,Age,Sex,Survived
1,29,1,1
1,2,0,0
1,,0,0
,25,1,0
1,1,0,1
1,47,0,1
1,63,1,1
1,39,0,0
1,58,1,1
1,71,0,0
,47,0,0
1,19,1,1
1,50,1,1
1,24,0,0
1,36,0,0
1,37,0,1
1,47,1,1
1,26,0,1
1,25,0,0
1,25,0,1
1,19,,1
1,28,0,1
1,45,0,0
1,39,0,1
,30,1,1
1,58,1,1
1,45,1,1
1,22,1,1
1,41,0,0
,48,0,0
1,44,1,1
1,59,1,1
1,60,1,1
1,45,0,0
1,53,1,1
1,58,1,1
1,36,0,1
1,33,0,0
1,36,0,1
1,36,1,1
1,14,1,1
1,11,0,1
1,49,0,0
1,36,0,0
1,46,0,0
1,47,1,1
1,27,0,1
1,31,1,1
1,27,0,0
1,26,1,1
1,64,1,1
1,37,0,0
1,39,1,1
1,55,1,1
1,70,0,0
1,69,1,1
,36,1,1
1,39,0,0
1,38,1,1
1,27,0,1
1,31,0,0
1,27,1,1
1,31,0,1
1,17,1,1
1,4,0,1
1,27,1,1
1,50,0,0
1,48,1,1
1,49,0,1
1,48,1,1
1,39,0,0
1,23,1,1
1,53,1,1
1,36,1,0
1,30,0,0
1,24,1,1
1,19,0,0
1,28,1,1
1,23,1,1
1,64,0,0
1,60,1,1
1,49,0,1
1,44,0,1
1,22,1,1
,60,0,1
1,48,1,1
1,37,0,0
1,35,1,1
1,47,0,0
1,22,1,1
1,45,1,1
1,49,0,1
1,71,0,0
1,54,0,1
1,38,0,0
1,19,1,1
1,58,1,1
1,45,1,1
1,23,0,1
1,46,0,0
1,25,0,1
1,21,1,1
1,48,0,1
1,49,1,1
1,45,0,0
1,36,1,1
1,55,0,0
1,52,1,1
1,24,1,1
1,16,1,1
1,44,1,1
1,51,1,1
1,42,0,0
1,35,1,1
1,35,0,1
1,38,0,1
1,35,1,1
1,50,1,0
,49,0,1
1,46,0,0
1,58,0,0
1,41,0,0
1,42,0,1
1,40,1,1
1,42,0,0
1,55,1,1
1,50,1,1
1,16,1,1
1,29,0,0
1,21,1,1
1,30,0,0
1,15,1,1
1,30,0,0
1,46,0,0
1,54,0,0
1,36,0,1
1,28,0,0
1,65,0,0
1,33,1,1
1,44,0,0
1,37,1,1
1,55,0,0
1,,0,0
1,36,0,0
1,58,0,0
1,,1,1
1,23,1,1
1,19,1,1
1,64,0,0
1,64,0,0
1,22,1,1
1,28,0,0
1,22,0,0
1,18,0,0
1,17,1,1
1,52,0,1
1,46,0,0
1,56,1,1
1,43,1,1
1,31,0,0
1,33,1,1
1,27,1,1
1,55,0,0
1,54,1,1
1,61,0,0
1,48,1,1
1,18,1,1
1,13,0,1
1,21,1,1
1,34,0,1
1,40,1,1
1,36,0,1
,50,0,0
1,39,1,1
1,56,0,1
1,28,0,1
1,56,0,0
1,56,0,0
1,24,0,0
1,18,1,1
1,24,0,1
1,23,1,1
1,45,0,1
1,40,1,1
1,6,0,1
1,57,0,0
1,32,0,1
1,62,0,0
1,54,0,1
1,43,1,1
1,52,1,1
1,62,1,1
1,67,0,0
1,63,1,0
1,61,,0
1,46,1,1
1,52,0,0
1,39,1,1
1,18,1,1
1,48,0,1
1,49,0,0
1,39,1,1
1,17,0,1
1,46,0,0
1,31,0,1
1,61,0,0
1,47,0,0
1,64,0,0
1,60,1,1
1,60,0,0
1,55,1,1
1,54,0,0
1,21,0,0
1,57,0,0
1,45,1,1
1,31,1,1
1,50,0,0
1,50,1,1
1,27,0,0
1,20,1,1
1,51,0,0
1,21,0,1
1,36,1,1
,40,0,0
1,32,0,0
1,33,0,0
2,30,0,0
2,28,1,1
2,18,0,0
2,34,0,0
2,32,1,1
2,57,0,0
2,18,0,0
2,23,0,0
2,36,1,1
2,28,0,0
2,51,0,0
2,32,0,1
2,19,1,1
2,28,0,0
2,36,1,1
2,4,1,1
2,1,0,1
2,12,1,1
2,34,0,1
2,19,1,1
2,23,0,0
2,26,0,0
2,27,0,0
2,15,1,1
2,45,0,0
2,40,1,1
2,20,1,1
2,25,0,0
2,36,1,1
2,25,0,0
2,42,1,1
2,26,0,1
2,26,1,1
2,1,0,1
2,31,1,1
2,19,0,0
2,54,0,0
2,44,1,0
2,52,0,0
2,30,0,0
2,30,1,0
2,29,0,0
2,29,0,0
2,27,0,0
2,24,0,1
2,35,0,0
2,31,1,1
2,8,1,1
2,22,1,0
2,30,1,0
2,20,0,0
2,21,0,0
2,49,1,1
,8,0,1
2,28,1,1
2,18,0,0
2,28,0,0
2,22,1,1
2,25,0,0
2,18,0,0
2,32,1,1
2,18,1,1
2,42,0,0
2,34,1,1
2,8,0,1
2,23,0,0
2,21,0,0
2,19,0,0
2,38,0,0
2,38,1,0
2,35,0,0
2,35,0,0
2,38,0,0
2,24,1,1
2,16,0,0
2,26,0,0
2,45,0,0
2,24,0,0
2,21,0,0
2,22,0,0
2,34,0,0
2,30,0,0
2,50,0,0
2,30,0,0
2,23,1,1
2,1,0,1
2,44,0,0
2,28,0,0
2,6,1,1
2,30,0,1
2,43,0,0
2,45,1,1
2,7,1,1
2,24,1,1
2,24,1,1
2,49,0,0
2,48,1,1
2,34,0,0
2,32,0,0
2,21,0,0
2,18,1,0
2,,1,1
2,23,0,0
2,21,1,1
2,52,0,0
2,42,0,0
2,36,1,1
2,21,0,0
2,41,0,1
2,33,0,0
2,17,1,1
2,23,1,1
2,34,0,0
2,22,1,0
2,45,1,1
2,31,0,0
2,30,0,0
2,26,1,0
2,34,1,1
2,26,0,0
2,22,1,1
2,1,1,1
2,3,1,1
,25,0,0
2,48,0,0
2,57,1,0
2,2,0,1
2,27,0,0
2,19,1,1
2,30,0,0
2,20,0,0
2,45,0,0
2,46,0,0
2,41,1,1
2,13,1,1
2,19,0,1
2,30,0,0
2,48,0,0
2,71,0,0
2,54,0,0
2,64,0,0
2,32,0,0
2,18,1,1
2,2,0,1
2,32,0,0
2,3,0,1
2,26,0,0
2,19,0,0
2,20,0,1
2,29,1,1
2,39,0,0
2,22,0,1
2,24,0,0
2,28,0,0
2,50,1,1
2,20,0,0
2,40,0,0
2,42,1,1
2,21,0,0
2,32,1,1
2,34,0,0
2,33,1,1
2,2,1,1
2,8,1,1
2,36,0,0
2,34,0,0
2,30,1,1
2,28,1,1
2,23,0,0
2,0.8,0,1
2,25,1,1
2,3,0,1
2,50,1,1
2,21,1,1
2,25,1,1
2,18,1,1
2,20,1,1
2,30,1,1
2,59,0,0
2,30,,1
2,35,0,0
2,22,0,0
2,25,0,0
2,41,0,0
,25,0,0
2,14,0,0
2,50,1,1
2,22,0,0
2,27,1,1
2,29,0,0
2,27,1,0
2,30,0,0
2,22,0,0
2,35,1,1
2,30,0,0
2,28,1,1
2,23,0,0
2,12,1,1
2,40,1,1
2,36,1,1
2,28,0,0
2,32,1,1
2,29,1,1
2,4,1,1
2,2,0,1
2,36,0,0
2,33,1,1
2,32,0,1
2,26,1,1
2,30,0,0
2,24,1,1
2,18,0,0
3,42,0,0
3,13,0,0
3,16,0,0
3,35,1,1
3,16,1,1
3,25,0,1
3,18,1,1
3,20,0,1
3,30,0,0
3,26,0,0
3,40,1,0
3,24,0,0
3,41,0,0
3,18,1,1
3,1,0,1
3,23,0,0
3,20,0,0
3,25,0,0
3,35,0,0
3,17,0,0
3,32,0,0
3,20,0,0
3,39,0,0
3,39,1,0
3,6,1,0
3,2,1,0
3,17,1,1
3,38,1,0
3,9,1,0
3,26,0,0
3,11,1,0
3,4,0,0
3,20,0,0
3,26,0,0
3,25,0,0
3,18,1,0
3,24,0,0
3,35,0,0
3,40,0,0
3,38,1,1
3,5,0,0
3,9,0,0
3,3,0,1
3,13,0,0
3,23,0,1
3,5,1,1
3,45,1,1
3,23,0,0
,17,1,0
3,27,0,0
3,23,0,0
3,20,0,0
3,32,0,0
3,33,1,1
3,3,1,1
3,18,1,1
3,40,0,0
3,26,0,0
3,15,1,1
3,45,1,0
3,18,1,0
3,,1,0
3,22,0,0
3,19,0,0
3,26,0,0
3,22,0,0
3,20,0,0
3,32,0,1
3,21,0,0
3,18,0,0
3,26,0,0
3,6,0,0
3,9,1,0
3,40,0,0
3,32,1,0
3,26,0,0
3,18,1,1
3,20,1,0
3,29,0,0
3,22,0,0
3,22,0,0
3,35,0,0
3,21,0,1
3,20,1,0
3,19,0,0
3,18,1,0
3,18,0,0
3,38,0,0
3,30,0,0
3,17,0,0
3,21,1,0
3,21,0,0
3,21,0,0
3,24,0,0
3,33,0,0
3,33,0,0
3,28,0,0
3,16,1,1
3,37,1,0
,28,0,0
3,24,,0
3,21,0,0
3,32,0,0
3,29,0,0
3,26,0,0
3,18,0,0
3,20,0,0
3,19,0,1
3,24,0,0
3,24,0,0
3,36,0,0
3,31,0,0
3,31,0,0
3,30,1,0
3,22,1,1
3,43,0,0
3,35,0,0
3,27,0,0
3,19,0,0
3,30,0,0
3,36,1,1
3,3,0,1
3,9,0,1
3,59,0,0
3,19,0,0
3,44,0,0
3,17,1,1
3,45,0,1
3,22,1,0
3,19,0,0
3,29,0,1
3,30,1,1
3,34,0,0
3,28,1,0
3,1,0,0
3,27,0,0
3,25,0,0
3,24,0,0
3,22,0,0
3,21,0,0
3,17,0,0
3,26,0,0
3,33,1,1
3,1,0,1
3,1,1,1
3,25,0,0
3,36,0,1
3,36,1,1
3,30,0,1
3,23,0,0
3,26,0,0
3,19,1,1
3,65,0,0
3,42,0,0
3,43,0,0
3,32,0,0
3,19,0,1
3,30,1,1
3,24,1,0
3,23,1,1
3,24,1,1
3,24,0,1
3,23,0,0
3,22,1,1
3,18,0,0
3,16,0,0
3,45,0,0
3,47,0,0
3,5,1,1
3,21,1,0
3,18,0,0
3,9,1,0
3,48,1,0
3,16,0,0
3,25,0,0
3,38,1,1
3,22,0,0
3,16,1,1
3,33,0,0
3,9,0,1
,41,0,0
3,38,0,0
3,40,0,0
3,43,1,0
3,14,0,0
3,16,1,0
3,9,0,0
3,10,1,0
3,6,0,0
3,11,0,0
3,40,0,0
3,32,0,0
3,20,0,0
3,37,0,0
3,28,0,0
3,19,0,0
3,24,1,0
3,17,1,0
3,28,0,0
3,24,1,1
3,20,0,0
3,41,0,0
3,45,1,1
3,26,0,0
3,21,0,0
3,27,0,1
3,18,1,0
3,26,1,1
3,23,1,0
3,22,1,1
3,28,1,0
3,22,1,1
3,2,1,0
3,43,0,0
3,27,1,1
3,42,0,0
3,27,1,0
3,25,1,0
3,27,0,1
3,19,1,1
3,20,0,0
3,48,,0
3,17,0,0
3,34,0,0
3,22,0,0
3,33,0,0
3,32,0,1
3,29,0,0
3,26,0,1
3,49,0,0
3,1,1,1
3,33,0,0
3,4,0,1
3,24,1,0
3,19,0,0
3,32,0,1
3,27,0,0
3,21,1,0
3,32,0,1
3,20,1,0
3,17,0,0
3,21,0,0
,30,0,0
3,21,0,1
3,23,0,0
3,22,0,0
3,4,1,1
3,39,0,0
3,20,0,0
3,21,1,1
3,44,0,0
3,42,0,0
3,21,1,1
3,24,0,0
3,25,0,0
3,22,0,0
3,22,0,0
3,39,0,1
3,26,1,0
3,4,1,1
3,22,1,0
3,26,0,0
3,1.5,1,0
3,36,1,0
3,18,0,0
3,25,0,1
3,37,1,0
3,22,1,1
3,20,0,0
3,26,0,1
3,29,0,0
3,29,0,0
3,22,0,0
3,32,0,0
3,21,0,0
3,21,1,0
3,36,0,0
3,39,0,0
3,25,1,0
3,45,1,0
3,36,0,0
3,30,1,0
3,20,0,1
3,23,1,0
3,21,0,0
3,2,1,0
3,25,0,1
3,18,1,1
3,63,1,1
3,18,1,0
3,31,0,0
3,31,1,0
3,15,0,0
3,28,0,0
3,36,0,0
3,28,0,0
3,10,1,0
3,36,0,0
3,30,1,0
3,22,0,1
3,29,0,0
3,47,0,0
3,14,1,0
3,22,0,0
3,51,0,0
3,18,0,0
3,45,1,1
3,28,0,0
3,21,0,0
3,27,0,0
3,36,0,0
3,27,0,0
3,,1,1
3,27,0,0
3,26,0,0
,22,0,0
3,24,0,0
3,29,0,0